78/2949-3,Ke Zhou 0003,University of Nottingham, UK
116/0730,Marios Constantinides,Nokia Bell Laboratories, Cambridge, UK
04/1995,Daniele Quercia,Nokia Bell Labs, Cambridge, UK
151/9322,Sanja Scepanovic,None
346/7992,Samir Abdaljalil,None
356/8805,Shaimaa Hassanein,None
146/4030,Hamdy Mubarak,None
48/5636,Ahmed Abdelali,Qatar Computing Research Institute
344/5019,Laurenz Aisenpreis,None
344/5260,Gustav Gyrst,None
140/7574,Vedran Sekara,None
324/8600,Rachith Aiyappa,None
283/6276,Matthew R. DeVerna,None
317/5112,Manita Pote,None
199/2726,Bao Tran Truong,None
07/11082,Wanying Zhao,None
263/2863,David Axelrod,None
337/9699,Aria Pessianzadeh,None
337/9456,Zoher Kachwala,None
313/1977,Munjung Kim,None
315/4908,Ozgur Can Seckin,None
192/8344,Minsuk Kim,None
302/2387,Sunny Gandhi,None
337/9871,Amrutha Manikonda,None
80/8064-2,Francesco Pierri 0002,Politecnico di Milano, Italy
79/3056,Filippo Menczer,Indiana University, Bloomington, IN, USA
25/10485,Kai-Cheng Yang,None
190/3629,Hiba Arnaout,None
48/10142,Simon Razniewski,Bosch Center for Artificial Intelligence, Renningen, Germany
59/6490,Jeff Z. Pan,The University of Edinburgh, UK
239/4168,Duilio Balsamo,None
149/2689,Paolo Bajardi,None
53/7323,Gianmarco De Francisci Morales,CENTAI, Italy
125/2323,Corrado Monti,None
25/2473,Rossano Schifanella,None
178/9815,Jack Bandy,None
217/1675,Tomo Lazovich,None
305/1057,Dominik Bär,None
160/9792,Nicolas Pröllochs,University of Freiburg, Germany
125/0630,Stefan Feuerriegel,Ludwig Maximilians University of Munich, Institute of AI in Management, Germany
203/8267,Raiyan Abdul Baten,None
242/8056,Yozen Liu,None
287/8980,Heinrich Peters,None
146/4193,Francesco Barbieri,None
71/7771,Neil Shah,None
180/2571,Leonardo Neves,None
161/3735,Maarten W. Bos,None
206/6489,Andrew Beers,None
342/2751,Joseph S. Schafer,None
20/2579,Ian Kennedy,None
270/1005,Morgan Wack,None
53/4689,Emma S. Spiro,None
84/7848,Kate Starbird,University of Washington, Seattle, WA, USA
34/7214,Cody Buntain,None
20/6865,Richard Bonneau,None
161/6826,Jonathan Nagler,None
126/4751,Joshua A. Tucker,None
